qrCode,buildingId,unitNumber,type,brandModel,status,المبنى,تاريخ أول تسجيل,تاريخ آخر زيارة,عدد الزيارات المسجلة,,,,,,,
WAD-101-AC-01,1c54f2e1-78c9-4552-8125-5da8fca6ff1a,WD-101,مكيف سبليت,,,الوادي,,,,,,,,,,
BS-101-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-101-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-101-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-101-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-101-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-101-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-101-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-101-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-104-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-104-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-104-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-104-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-104-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-104-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-104-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-104-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-201-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-201-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-201-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-201-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-201-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-201-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-201-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-201-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-204-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-204-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-204-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-204-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-204-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-204-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-204-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-204-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-301-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-301-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-301-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-301-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-301-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-301-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-301-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-301-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-304-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-304-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-304-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-304-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-304-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-304-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-304-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-304-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-401-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-401-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-401-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-401-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-401-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-401-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-401-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-401-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
